Comment,Designator,Footprint,LCSC,Quantity
33p,"C23,C4",C_0805_2012Metric,C107115,2
0R1,R42,R_0603_1608Metric,C111027,1
1k0,"R28,R29,R31,R33,R34,R36,R37,R38,R39,R40,R41",R_0402_1005Metric,C11702,11
2u2,"C17,C19",C_0402_1005Metric,C12530,2
120R1,L2,L_0603_1608Metric,C127301,1
LED,D1,D_0805_2012Metric,C130114,1
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738,1
100u,"C29,C30",C_1206_3216Metric,C15008,2
10n,C8,C_0402_1005Metric,C15195,1
100n,"C11,C12,C13,C14,C15,C16,C20,C24,C25,C26,C32,C34,C35,C36,C56,C7",C_0402_1005Metric,C1525,16
STM32F405RGTx,U1,LQFP-64_10x10mm_P0.5mm,C15742,1
USB_C_Receptacle,J9,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
0,R30,R_0402_1005Metric,C17168,1
WM8960CGEFL/RV,U6,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm_ThermalVias,C18752,1
1N5819WS,"D2,D6",D_SOD-323,C191023,2
BQ21040DBV,U2,SOT-23-6,C202311,1
4.7u,"C28,C3,C31,C6",C_0402_1005Metric,C23733,4
150R,"R11,R12,R14,R15,R17,R18,R24,R25",R_0402_1005Metric,C25082,8
180,"R13,R16,R23,R6",R_0402_1005Metric,C25087,4
680,R26,R_0402_1005Metric,C25130,1
100k,"R1,R21",R_0402_1005Metric,C25741,2
10k,R22,R_0402_1005Metric,C25744,1
15k,R4,R_0402_1005Metric,C25756,1
3k0,R35,R_0402_1005Metric,C25784,1
1k5,"R27,R7,R8",R_0402_1005Metric,C25867,3
2k2,R9,R_0402_1005Metric,C25879,1
4k7,"R10,R32,R5",R_0402_1005Metric,C25900,3
5k1,"R2,R3",R_0402_1005Metric,C25905,2
SW_Push,"SW4,SW5",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin,C266189,2
64k9,R20,R_0402_1005Metric,C26984,1
USBLC6-2P6,U4,SOT-666,C2827693,1
NH-B1515RGBA-HF,"D3,D4,D5,D7",LED-ARRAY-SMD_4P-L1.6-W1.5-TL_NH-B1515RGBA,C2874115,4
Conn_01x02_Socket,J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C295747,1
Conn_05x02_Female,"CN2,CN5,CN6,CN7",IDC-SMD_10P-P1.27_X1270WVS-2X05B-6TV01,C2962222,4
ESP32-S3-WROOM-1-N8R2,U11,ESP32-S3-WROOM-1U,C3013944,1
Conn_01x06_Female,"CN3,CN4,J3",JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,C3029336,3
Conn_01x08_Socket,J10,JST_SHL_SM08B-SHLS-TF_1x08-1MP_P1.00mm_Horizontal,C3029347,1
10u,"C1,C2,C21",C_0402_1005Metric,C307415,3
1uH,L1,MCL2016A1R0MT,C370013,1
SW_SPDT,SW6,SW-TH_SS-12D11G5R,C388633,1
AudioJack1,J2,Jack_3.5mm_PJ320D_Horizontal,C431535,1
360k,R19,R_0402_1005Metric,C45956,1
TPS63060,U7,Texas_S-PWSON-N10_ThermalVias,C48567,1
2p2,C41,C_0805_2012Metric,C519933,1
1u,"C10,C18,C5,C9",C_0402_1005Metric,C52923,4
SW_Push,"SW1,SW2",SW-SMD_L7.5-W8.0-P4.50_TS-1045-A13B3-D2,C557898,2
STM32F072CBTx,U8,LQFP-48_7x7mm_P0.5mm,C80488,1
10u,"C38,C39,C43,C44,C45,C46,C47,C48",C_0805_2012Metric,C83061,8
M24C02-RMN6TP,U5,SOIC-8_3.9x4.9mm_P1.27mm,C83836,1
CH340C,U3,SOIC-16_3.9x9.9mm_P1.27mm,C84681,1
100n,"C37,C40,C42",C_0805_2012Metric,C85866,3
BM14B(0.8)-24DS-0.4V(53),U13,BM14B(0.B)-24DS-0.4V(53),C9900001863,1
